Product type,Product properties,Price,Store address
phone,color:grön,277.00,"Blake gränden, Karlskrona"
subscription,gb_limit:50,415.00,"Odell gatan, Stockholm"
subscription,gb_limit:10,202.00,"Fausto vägen, Karlskrona"
phone,color:purpur,130.00,"Gustafsson gärdet, Karlskrona"
phone,color:guld,271.00,"Nilsson allén, Stockholm"
phone,color:guld,45.00,"Gustafsson gärdet, Malmö"
subscription,gb_limit:50,178.00,"Karlsson allén, Karlskrona"
phone,color:brun,380.00,"Svensson gatan, Stockholm"
subscription,gb_limit:10,991.00,"Emma allén, Malmö"
phone,color:brun,17.00,"Eriksson vägen, Karlskrona"
phone,color:purpur,704.00,"Eriksson gatan, Malmö"
subscription,gb_limit:10,467.00,"Kirsten gränden, Karlskrona"
subscription,gb_limit:50,334.00,"Candido gränden, Malmö"
subscription,gb_limit:50,676.00,"Nilsson gatan, Stockholm"
phone,color:brun,952.00,"Olsson allén, Malmö"
phone,color:rosa,705.00,"Larsson vägen, Malmö"
phone,color:indigo,345.00,"Glen allén, Stockholm"
subscription,gb_limit:10,738.00,"Karlsson allén, Karlskrona"
subscription,gb_limit:50,869.00,"Flo vägen, Stockholm"
subscription,gb_limit:50,476.00,"Johansson gatan, Malmö"
subscription,gb_limit:50,431.00,"Margarita allén, Malmö"
subscription,gb_limit:50,581.00,"Persson gränden, Karlskrona"
subscription,gb_limit:50,995.00,"Karlsson gatan, Stockholm"
subscription,gb_limit:50,636.00,"Alvina gränden, Stockholm"
subscription,gb_limit:10,99.00,"Eriksson allén, Stockholm"
subscription,gb_limit:10,599.00,"Olsson gatan, Stockholm"
subscription,gb_limit:50,739.00,"Karlsson gärdet, Stockholm"
subscription,gb_limit:10,74.00,"Karlsson allén, Stockholm"
subscription,gb_limit:50,578.00,"Madge allén, Stockholm"
phone,color:brun,677.00,"Granville vägen, Malmö"
subscription,gb_limit:10,445.00,"Delfina gränden, Karlskrona"
phone,color:grå,708.00,"Jamie allén, Stockholm"
phone,color:röd,175.00,"Eriksson vägen, Malmö"
phone,color:grå,951.00,"Laurianne vägen, Malmö"
phone,color:rosa,955.00,"Karlsson allén, Malmö"
subscription,gb_limit:50,204.00,"Karlsson allén, Stockholm"
phone,color:rosa,475.00,"Karlsson vägen, Stockholm"
phone,color:vit,388.00,"Tyson gärdet, Karlskrona"
phone,color:silver,894.00,"Nilsson gränden, Karlskrona"
subscription,gb_limit:50,584.00,"Amaya allén, Karlskrona"
phone,color:vit,672.00,"Olsson allén, Stockholm"
phone,color:lila,272.00,"Millie vägen, Stockholm"
subscription,gb_limit:50,774.00,"Nilsson gatan, Stockholm"
subscription,gb_limit:50,191.00,"Hazel allén, Malmö"
subscription,gb_limit:50,474.00,"Karlsson gärdet, Stockholm"
subscription,gb_limit:10,37.00,"Johansson gärdet, Stockholm"
subscription,gb_limit:50,255.00,"Rosella gränden, Karlskrona"
subscription,gb_limit:10,738.00,"Johansson gatan, Stockholm"
subscription,gb_limit:50,342.00,"Lorna vägen, Stockholm"
subscription,gb_limit:50,800.00,"Olsson gatan, Karlskrona"
